FORMULA,PROPERTY: YS (MPa)
Ti2BRh6,0.0
MgSi7Ir3,0.0
Ba2TaInO6,4.17
Ga3Pt2,0.0
Hf3P,0.0
Zn0.9Hg0.1Se1,1.75
Tb2Ti3Ge4,0.0
SiHg3,0.0
Ca3BiAs,0.0
Pr6Fe13Si,0.0
V3Pb2Se5O18,3.14
CaF2,9.92
Zr2(Co7B2)3,0.0
CsLi(B3O5)2,6.89
PrGeAu,0.0
Sc3GaC,0.0
TiOs3,0.0
HoSiRu2C,0.0
Eu(BiTe2)2,0.44
Sn2S,0.85
Rb3Nb2AsSe11,1.5
ErAlGe,0.0
In2Cu1S3.5,1.43
Sr(RuO3)2,0.0
CsMnSb,0.0
Y(CuTe)3,0.72
Tm2MgRu,0.0
BSb,2.6
PrInAu2,0.0
GePbS3,2.4
Li4Cu(PO4)2,0.0
Rb2AgPS4,2.6
CuBi(PSe3)2,1.2
Sn0.2Te1Pb0.8,0.08
MgSbF6,0.0
Cr2NiS4,0.0
YMg4Cu,0.0
Nd4MgRu,0.0
Cu9O13,0.0
Tm(CoSi)2,0.0
MnAs,0.0
Cu5(Si2O7)2,0.0
In1Sb0.5As0.5,0.1
Cd2InCuTe4,0.85
NdAgPb,0.0
Cs2Ti(AgS2)2,2.44
SnB,0.0
Ca(LaS2)2,2.7
AlIr,0.0
U2(Co7B2)3,0.0
Li2YbPb,0.0
Mg32Al36Ag13,0.0
CrNiAs,0.0
Sm4In21Pd10,0.0
Al0.1Cd0.9Sb0.1Te0.9,1.36
Ba3Ta2Se9,1.6
Rb4Ge3B6O17,5.42
V6PbO11,0.0
Ba2SmGaSe5,2.27
Te0.6Se0.4,0.7
La3Mo4O16F,3.7
EuSb4S7,0.98
BaAu2,0.0
Ta11(CuO15)2,2.59
Li2MgIn,0.0
LiYbPb,0.0
Li2PmAl,0.0
Sn3P3O13,0.0
In2Pt,0.0
AsSI,2.05
La10Mn9O30,0.0
YMoClO4,3.82
As2S5,2.48
CsRb(PSe4)2,2.41
PrTl2InSe4,0.93
Ce2Cu(NO)2,0.0
SbTeOs,0.05
K6CdTe4,2.51
Sm3Te4,0.51
AsSeI,1.76
K4Ge(PSe3)4,2.0
K2Ho4Cu4S9,2.43
CeLu3,0.0
K2Ga3CuSe6,1.72
SmBPd3,0.0
PrErIn2,0.0
Ti2CoGe,0.0
Li3Cr(NiO2)4,0.0
Na8PO3,0.0
Ag7AsS6,1.0
MgPt5,0.0
YbAg2,0.0
Sm1.82Lu2.18Se6,1.51
Eu(ClO4)3,0.0
HgBr2,3.59
Ga1.005Sb0.995Se0.015,0.64
V3(HO2)4,0.0
Nd(Al4Co)2,0.0
AsBr3,2.6
SnRh,0.0
BaYb2O4,0.0
Lu3BC3,0.0
Th6Mg23,0.0
SrSbAu,0.0
PrB6,4.9
ScZn3,0.0
RbCaBO3,3.67
Yb14Ti10O41,0.0
TbTe,0.0
InSiIr,0.0
Ti3Pt5,0.0
Ca(Ni2O3)2,0.0
Dy3Ga,0.0
ICl2,0.0
Li2FeWO6,0.0
CuCN2,0.0
Li3V12O29,0.0
NdF3,6.15
Ni4(PO4)3,0.0
Gd2Se3,2.2
Ba3Gd2(PS4)4,3.41
BaGe4(IrS3)2,1.54
Cd0.07In0.93Te0.07As0.93,0.68
PmMgRh2,0.0
LiSb3PbS6,1.6
Al9Ir2,0.0
Bi2Te3,0.25
Sn0.1Te1Pb0.9,0.16
PmMgAu2,0.0
Co(WO4)2,0.0
IrSeS,1.2
KLiCO3,6.32
Rb2Ti(AgS2)2,2.33
Zn0.25Ga0.75P0.75Se0.25,2.18
Fe4O7F,0.0
CsSmHgSe3,2.37
Ba3YIr2O9,0.0
SbPb2S2I3,2.0
K10Fe4Sn4S17,2.2
Si0.0645Ge0.9355,1.04
CsNa8(B7O12)3,4.67
Cs2Cd3(B4O7)4,4.76
Li2TiMn3O8,0.0
Gd(CuSe)3,0.14
Eu(NiAs)2,0.0
Li2PrP2,0.0
CsMn4In5Te12,1.48
Zn0.15Ga0.85As0.85Se0.15,1.47
Y2U3O11,0.0
In3Pd5,0.0
Cs2Cd(PSe3)2,2.63
GaCuO2,1.47
Nd2ZnGa,0.0
BaNa2GeSe4,2.25
Yb2Ge2Ir,0.0
Cd5Ga2(Te3S)2,1.29
Nb2Sb,0.0
RbVP2S7,0.0
Ga1.85Cu0.15Se2.85,1.92
MnNi,0.0
Li3Mn2(CoO4)2,0.0
Ba23Ga8(SbS19)2,2.84
CsInS2,3.4
Nd3Ge5,0.0
Ti2RePd,0.0
Rb2FeI4,0.0
B4H2Pb6O13,3.24
Ca(PrS2)2,2.9
Ba14Ir8(PdO11)3,0.0
Ga1.5Cu0.5Se2.5,1.76
Ba3PN,0.0
LiInS2,3.56
Al(NiS2)2,0.0
Li4Fe3NiO8,0.0
KAlGeS4,3.5
Sr3Bi(PO4)3,4.0
Tl2Hg3S4,2.05
Bi2O5,0.0
Na8(CuO2)5,0.0
Ce4Te7,0.5
Zr2Ni12P7,0.0
EuCu9Sn4,0.0
CrH9(CN2)3,0.0
CrO3,1.4
CsInI3,0.0
Tm2MgTl,0.0
MgCuSn,0.0
ErMg2,0.0
Nb3(Fe10B3)2,0.0
InAgO2,4.2
SrZnSO,3.1
Li2EuSn,0.0
Cd8B5O15F,3.14
Rb2TeBr6,2.14
BAs,1.45
HoMn12,0.0
RbH2(IO3)3,4.07
Te0.8Se0.2,0.4
ZrTe,0.0
La2.1Bi5.9Pb2S14,1.0
Dy(CuSe)3,0.2
RbLiCO3,6.28
V2Pb4(Se2O7)3,3.37
Y2S3,2.9
ZrTi2O,0.0
Cr4As3,0.0
Ga1.8Cu0.2S2.8,2.65
Sr5V3O12F,4.5
TbSe2,0.0
CeAlO3,0.0
Ca5Sb3,0.0
In0.2Ga0.8As0.2P0.8,2.15
CaZn3,0.0
ZnCrO2,0.0
Cs3V2Cl9,0.0
Ba5Bi3,0.0
Li4V5Cu3O16,0.0
Er(ReO4)2,0.0
Ba4Ge3S9Cl2,2.91
Dy2CuOs,0.0
UHg4(AsCl3)2,1.9
Yb2SmS4,0.0
Tb0.52Pr2.48Ga1.67S7,2.61
Sr8.007Ge2.043Bi7.949Se24,0.74
Rb2Pt(IO3)6,2.4
LaH2NO5,4.76
CeZnPO,0.0
TiPd,0.0
Ag7NO11,0.0
LaBiAu2,0.0
Bi2Te1.2Se1.8,0.28
Mg2V9O13,0.0
ZrGaPt,0.0
BeSe,4.0
La3AlN,0.0
VIr,0.0
TmMg2Sc,0.0
ZnAgF5,0.0
Li5Fe6(BO3)6,0.0
Ca2ZnRh,0.0
Mn(SbO3)2,0.0
YHg2,0.0
Li4Mn5Cu3O16,0.0
Ba3Sn0.87Bi2.13Se8,0.79
Lu2TlCd,0.0
YTiO3,0.0
LiSiRh2,0.0
EuAl2O4,2.74
Al0.99Ga0.01P1,2.49
Ba2GaAsSe5,1.39
Sr7Bi23O40,0.0
RbBi2,0.0
NiO,4.0
U(MnSi)2,0.0
RbF3,0.0
U2Cr30P19,0.0
SmAs2Au,0.0
La(SiOs)2,0.0
LuP,1.3
Cu18S11,0.0
Rb2Mo9Se10,0.0
YbIr2,0.0
Ce3MnAlS7,0.0
CuClO2,0.0
PrGaAu2,0.0
Cs2Mo15S19,0.0
Al0.4In0.6P1,2.12
Ho2CuRh,0.0
ZnTc,2.37
Ga1.005Sb0.995Te0.015,0.68
LiCa2Ga,0.0
CeCoGeH,0.0
Ba4Yb(CuO3)3,0.0
HoMg2,0.0
Tb11S16,0.0
Nb2Tl4S11,1.8
CdSb2Se3Br2,1.4
Pr(FeSi)2,0.0
RbB5(H2O3)4,0.0
CaTi4O8,0.0
Li2Fe2(PO4)3,0.0
IrS2,0.9
BiAs2Os,0.0
SmNiC2,0.0
Ba2GdInTe5,1.36
KHg2,0.0
Li5Mn6(BO3)6,0.0
CsCeHgSe3,1.94
CsYTe3O8,3.4
CsHo9(Cd2Se9)2,2.06
Yb(SbS2)2,1.12
Ca2Co9O13,0.0
Na2Te,2.3
RePO5,0.0
CeAlSi2,0.0
CeInIr,0.0
CsNi2F6,0.0
Ba2ErGaTe5,1.15
VAg(IO4)2,2.24
CsSbTe2,0.43
TmGe,0.0
CeTl2P2S7,2.4
Mn2Cu(PO4)3,0.0
Cs3PW3O13,3.27
Cs2PdSe8,1.5
TmMnGe,0.0
ThMn4(CuO4)3,0.0
Hg3Bi2(TeCl4)2,2.8
AlAgS2,3.13
Ti(Bi3O5)4,3.09
B2Se2O7,4.64
HoTlPd,0.0
SrCuBi,0.0
Dy4Sb3,0.0
Pr2CdSn,0.0
Dy3(CuGe)4,0.0
Eu3As2,0.6
Bi2I4O13,3.3
K8N3O,0.0
YbSm2CuS5,1.28
GaGeTe,1.1
YbPmPt2,0.0
SrLi4(BO3)2,6.67
ZrHg4(PCl3)2,3.22
Ti5(B6O13)2,0.0
Cu3SbSe4,0.31
KY(TeO3)2,3.8
Sc(TiN)9,0.0
GdNiO3,0.0
BH(PbO2)2,3.76
MgMnRh2,0.0
LiYbF4,0.0
Si2SbO6,0.0
GdZnIn,0.0
Bi2(BO3)3,0.0
ErNiSn,0.0
Ba2SnSe5,1.8
CsGeI3,1.6
Y(Al5Fe)2,0.0
YbMgPd,0.0
TiTlPS5,1.3
Sc3(ReSi2)2,0.0
Co5Ge7,0.0
HfPt,0.0
RbCu2SbS3,1.67
CdPd,0.0
Ge5(Te4As)2,0.0
TbBRh3,0.0
CsK(PSe4)2,2.36
In1.1Cu0.9Se2.1,1.06
In5AgTe8,0.47
LiHg2Pd,0.0
SbOsS,1.2
Li2U(MoO5)2,0.0
Sr2GaCo2O7,0.0
AlAs,0.0
ZrB2,0.0
Zr1.33Ta0.67N1.63O1.89,2.48
Ba2DyGaSe5,2.35
Ti4O5,0.0
HoB4,0.0
NdSnRh,0.0
GaAs2W,0.0
Tm2In,0.0
Ho3GaC,0.0
Sc(CuSe)3,0.3
Li2In2SiS6,3.61
TlAsSe2,1.35
LuMnSi,0.0
Sc2FeB2Ir5,0.0
RbNb4Br11,0.46
La5Cu6.33S7O4,2.0
Cr2P3O11,0.0
LiPm2Al,0.0
NaSi2Pd3,0.0
Si0.999Ge0.001,1.09
Sc2CuRu,0.0
Cd0.5Hg0.5Se1,0.8
Ba(GaSe2)2,3.16
CsCd4Ga5Se12,2.21
Hf4Al3,0.0
YCdPd2,0.0
TiAuCl,0.0
In4Se3,0.64
AlAgO2,3.6
SbTeRh,0.5
LiSbS2,1.36
La2O3,5.4
YSi2,0.0
Al2FeNi,0.0
RbIn4,0.0
In1.6Cu0.4Se2.6,1.32
CrB2(PbO2)6,1.8
BP,4.2
Li7(Mo3S4)4,0.0
LaGa3Pd2,0.0
Na2Tl,0.0
LuCdAg2,0.0
Mn2AlO4,0.0
GaAgGe5Se12,2.14
LiCuO2,0.0
Cd0.5In2.2Ag0.4Te4,0.19
GdGeRu,0.0
DyBPd3,0.0
In1Sb0.2As0.8,0.12
Ga8Cu3Mo2,0.0
CeHg,0.0
Sb3IO4,2.61
Ba4Ge3Se9Cl2,1.89
In1.7Cu0.3Se2.7,1.21
Li7Ca8Nb12O40,0.0
Mg3Sb2,0.8
LiInSe2,2.83
NaHg,0.0
RuSe2,1.0
ThSeO,1.65
Bi8Te7S5,0.4
Ga1As0.7P0.3,1.8
Ba2Cd(BO2)6,4.59
Ba2GaBiSe5,2.21
BaTi4O7,0.0
Dy5Sn3,0.0
Li2V3FeO8,0.0
Ga1.05Sb0.95Se0.15,0.66
Ba4Ga5CuS12,2.82
Rb2Zn3(SeO3)4,4.9
Ba(InSe2)2,2.63
NaIn(IO3)4,4.25
DyInCu2,0.0
NdSn2,0.0
Li3Mn2CuO6,0.0
Sr2GeN2,0.0
La20Cu9O40,0.0
Ba2GdGaSe5,1.87
RhSe3,0.7
Al3Tc,0.0
Mg17Al11Pd,0.0
LiAl2Tc,0.0
LiAl3,0.0
CeN,0.7
V3Cu,0.0
Ti2ReRh,0.0
La2B4Rh5,0.0
Rb3Sb2I9,1.94
Yb(IO3)3,0.0
K3Th2Cu3S7,2.49
SmC10,0.0
ScTlSe2,0.79
YbBO3,0.0
Ba2B6O11,5.17
In2Co,0.0
BeGaO3,0.0
Ba3Sn(SbSe4)2,0.97
SrNi5As3,0.0
Cd1Se0.01S0.99,2.4
CsCdInSe3,2.4
Er5Bi3,0.0
Ba2Cu5F14,0.0
HoInPt,0.0
V2Si2O7,0.0
Ba3La3(Cu3O7)2,1.8
BaGa2SiSe6,2.88
Cs2Sn3(SbS5)2,2.34
Ba3Er2(PS4)4,3.3
Si0.9Ge0.1,1.04
GaHSeO4,5.51
Rb3Al3Ge7S20,3.1
Ir0.67S2,2.0
PrGe3,0.0
AlPd5I2,0.0
Nd5Ge4,0.0
BaGa4S7,3.54
Ga1As0.3P0.7,2.16
Ba2InSbSe5,1.92
GeRh,0.0
SmCo2,0.0
Rb3Na(MoO4)2,4.84
NaNi2O3,0.0
Te2Pd,1.8
Bi2AsClO4,3.43
Tl2GeTe3,0.36
Na2Hg3Se1.49S2.51,2.03
Ca2Os2O7,0.0
ScHg,0.24
TlCoBi,0.0
Lu3InN,0.0
LiBiS2,0.11
Zr2CuS4,0.0
Mg5As,0.0
BaSn3,0.0
Te0.4Se0.6,1.2
Hg5AsS2I3,1.57
YbAgGe,0.0
Gd3S4,0.0
Cd0.35Hg0.65Te1,0.28
La2VCoO6,0.41
Ta3P,0.0
Li2Ga(GeSe3)2,2.64
CeGaO3,0.0
Dy(GeRu)2,0.0
CsYHgSe3,2.54
Ba2DyGaTe5,1.13
LiEuH3,1.5
ThAsSe,0.0
DyYAg2,0.0
Ba4Sb3S8Cl,2.09
Li3Co3SbO8,0.0
ScRh,0.0
Li2CrCuO4,0.0
CeMgAg2,0.0
In0.9Ga0.1As0.9P0.1,0.45
AlV(TeO4)2,2.9
Ta6Ni16Ge7,0.0
Er2Mg3Ru,0.0
Al6Tc,0.0
VTe2,0.0
HfS2,2.9
RbInS2,3.3
CeMgZn2,0.0
LaCuTeO,2.31
UFe5Si3,0.0
TaNiB2,0.0
ErRu3,0.0
TbNi5,0.0
EuSnAu2,0.0
Mg23Al30,0.0
CeAl2Pt3,0.0
Zr3NiO,0.0
Ga2S3,2.8
Li3Co4TeO8,0.0
K10Sn3(PSe3)8,1.82
CeMoO4F,2.52
Hf3P3Pd4,0.0
VZnRu2,0.0
DySiIr,0.0
Te0.05Pb1Se0.95,0.26
KFe2BiO5,1.76
TeMoSe,0.0
Cr7C3,0.0
Ge0.01Te0.01Pb0.99Se0.99,0.23
ErHg2,0.0
ZnHg3(SeCl2)2,2.23
Ge0.2Te1Pb0.8,0.4
Ga2HgS4,2.79
Bi1.4Sb0.6Te3,0.17
NaCdAsS3,2.93
YNi4B,0.0
Li3Ti3(PO4)4,0.0
CaGe2,0.0
ThS,0.0
In0.001Te1Pb0.999,0.3
Er3SnC,0.0
Ti2TcNi,0.0
Eu(ZnGe)2,0.0
W2N,0.0
Gd1.87Lu2.13Se6,1.56
Ba2ZnSe3,2.75
Sn2BiSI5,1.32
BiSI,1.56
Mg(FeO2)4,0.0
K2ReH9,5.71
Al13Ru4,0.0
KCd4Ga5Se12,2.16
Cu0.5Ge1Pb1.75S4,1.48
Cu3Hg2(Te3O8)2,2.56
LuAg2,0.0
SbSeBr,1.84
V3Re,0.0
CaGa3Ni2,0.0
TbP,0.0
Rb4Ti3S14,1.59
InAsI,0.41
Si2NiP3,0.0
Be2W,0.0
CaI2,5.98
Bi7O5F11,4.05
BaB6,2.64
Mn(BW)2,0.0
SrPb3,0.0
DyNiGe2,0.0
ScNiSb,0.11
Co2Te3O8,3.6
W2C,0.0
Yb(AlGe)2,0.0
Ge0.3Te1Pb0.7,0.48
CaPrZn2,0.0
Nb3In,0.0
Zr(Ni2P)2,0.0
Y2O3,5.6
Ga1.8Cu0.2Se2.8,1.86
Ga5Ge(PbSe3)4,1.91
Li3Ni3(PO4)4,0.0
La2Si5Rh3,0.0
Tl5Te3,0.0
K2Ge3(BO5)2,5.38
Li3MnAs2,0.0
Dy3GaS6,2.81
Cu4Sn7S16,0.8
In0.4Ga0.6As1,0.81
BaCaSn3,0.0
Tb2O3,3.0
Na3Re,0.0
LuAl2Pd5,0.0
CsTiF4,0.0
ZrInRh2,0.0
P2Se3,2.4
K5In3P6Se19,2.2
Ba2YReO6,0.0
Ni4(BiO2)9,0.0
HfCo3B2,0.0
Cd3Bi(PO4)3,3.9
Ni2Mo4C,0.0
In(PSe2)2,1.29
TlCuSe2,1.07
LiHfPd2,0.0
Ta2TlO6,0.0
Ba6Ga2SnSe11,1.99
EuAlO3,0.0
Ce2S2O,0.0
CdRhF6,0.0
SmB6,3.5
Er(InS2)3,1.28
CsInTe3O8,3.9
Pr4Sb3,0.0
Li2Si4Ni5O14,0.0
ErAgSn,0.0
K2Cd3S4,2.75
Tl2CdTe4,0.0
NiGe,0.0
Eu(AsPd)2,0.0
Ti2AlV,0.0
La2Zn(SeO)2,3.4
Na2S,2.4
Ca6Cu2Sn7,0.0
Li2ZnGeSe4,1.86
Bi0.2Sb1.8Te3,0.28
Mg3(Ni10B3)2,0.0
Fe2B(PO4)3,3.52
Cu2H3ClO3,0.0
K6Ta1.03Nb2.97S25,2.01
Bi1.8Sb0.2Te3,0.15
RbAg2TeS6,2.04
EuSb4Te7,0.54
Eu1.75Ag0.5Ge1S4,2.14
MgCuSb,0.0
Hf5Sn3,0.0
Ag3RuO4,0.0
RbCd4Ga5Se12,2.19
V3CuO8,0.0
SrMgSnSe4,2.0
Ca3Au4,0.0
SrTlHg2,0.0
Zn3(PS4)2,3.07
BaCuSbSe3,1.6
Er(CuTe)3,0.24
LiBi2(PO4)3,0.0
Y4AsSe3,0.0
Pb3Se2(BrO3)2,3.73
Dy3Al0.5Si1S7,2.22
ZrAu4,0.0
Ni3SnN,0.0
Ti2Cd,0.0
Sr2HoRuO6,0.0
TlAsS2,2.15
Ca3BiSb,0.0
Pb1Se0.95S0.05,0.26
Gd(SiRu)2,0.0
NdCu3(RuO3)4,0.0
InCuGeSe4,1.3
Zn8Ag5,0.0
Zn2Sb3O8,0.0
CsInSnS4,2.9
Sm2CuAs3O,0.0
Bi4I,0.0
SrSiPd,0.0
Cr(MoS2)2,0.0
GdInIr,0.0
VPO4,0.0
PH6NO4,6.8
Cs5Bi(PSe3)4,1.85
La2Nb2N2O5,0.0
TiCoSn,0.0
ZrSi2,0.0
MgCu2GeS4,2.36
BiPb2S2I3,1.6
BaPd(IO3)4,1.97
In2GeTe3,0.68
Gd(CuS)3,1.62
Mg3Rh,0.0
Li2Cu2S3,0.0
K1.83Cd1.83Bi2.17S6,1.37
K0.8Sn2Hg1.2S8,2.78
Na2Ge2Se5,2.38
In1Sb0.99As0.01,0.35
In4Bi3S10,1.42
Ga1As0.6P0.4,1.91
NbOsPb,0.0
Cu6PbO8,0.0
SmS,2.3
Hf4Co4Si7,0.0
Cs2Te,3.5
BeGaRh2,0.0
Mn2P,0.0
TmB2C,0.0
Ho(CuTe)3,0.26
LiAsS2,1.6
Hf2S,0.0
InSn2As2Se,0.2
Ga1.02Sb0.98Te0.06,0.68
Hf5CuPb3,0.0
LiCdBO3,4.28
CsYCdSe3,2.54
Eu(TmSe2)2,1.8
In1.6Ga0.4Cu1S3.5,1.55
K2Hg3(GeS4)2,2.64
Lu2Al3Co,0.0
Sm2TlZn,0.0
Tl2InGaSe4,2.05
BRh2,0.0
Lu(SiOs)2,0.0
TlCuCl3,2.98
NdGaO3,0.0
Sn2SbS2I3,1.5
Cd0.1Ga0.9Sb0.9Te0.1,0.78
Ho2Ge5Rh3,0.0
HgIrO3,0.0
NaGaGe3Se8,2.35
Ga1.5Cu0.5S2.5,2.43
In0.2Ga0.8As1,1.07
Zr2Se,0.0
Sr8Fe3N8,0.0
CsMg149,0.0
Ba5V3O12F,3.85
Fe2Cu(PO4)3,0.0
LiZr2Os,0.0
Zn0.8Hg0.2Se1,1.4
UNiSn,0.0
Ba2NdInTe5,1.37
Dy2TlCd,0.0
NbGaCo2,0.0
LiLa2IrO6,0.0
Ga1Sb0.8As0.2,1.02
DyAgGe,0.0
Ca(CoS2)4,0.0
Li3Mn(CuO3)2,0.0
Eu(InS2)2,1.5
PPdS,1.38
Ce2SiSeO4,0.0
CBr4,3.7
LiMnCuO4,0.0
YbSn2Pd,0.0
AgBr,2.52
LiSbTe2,0.13
H2Se,0.0
Nb3B2,0.0
Mg2MnN2,0.0
Li3Fe(CoO2)4,0.0
Na2CdSnS4,2.52
Li3Fe2SbO6,0.0
Ce2Co5B2,0.0
Ce(PPt2)2,0.0
In0.8Ga0.2As0.2P0.8,1.4
UGa2,0.0
YSiNi,0.0
NaC,0.0
BiClO,3.46
CeBC,0.0
YCdPt2,0.0
La2Ge5Ir3,0.0
Tm5Ti5O17,0.0
Sn0.2Te0.2Pb0.8Se0.8,0.14
Ge0.01Te1Pb0.99,0.32
Nb3Te,0.0
Ce8U2O21,0.0
SrMgIn3,0.0
Ta6Be15Cu8,0.0
VCu3S4,1.0
Li3Bi,0.7
Ba2Sb7HO14,2.7
CoP3,0.45
Zr3Ag,0.0
LaMg2H7Pd,1.0
KFeCuTe2,1.06
BaTh3,0.0
Ba(PdO2)2,0.0
Ca11Ga7,0.0
TbIn2Ni,0.0
In11.3Bi14.7S38,1.45
Sb6Pb6Se17,0.8
Sn0.08Pb0.92Se1,0.06
LaTb3,0.0
Ge3Sb,0.0
Mg3(B25C4)2,2.7
TlZn2Tc,0.0
NiS2,0.64
Nd(PRu)2,0.0
NaLu(Pd3O4)2,0.0
Ge0.05Te1Pb0.95,0.34
SrLi2Sn,0.0
ScZn2,0.0
Rb2VAgS4,1.83
Tm(GeRu)2,0.0
TbBe13,0.0
Na2Zn(GeSe3)2,2.36
Cd2InCuTe3,0.7
YH2NO5,4.83
PrTaN2O,2.0
SmLuTl2,0.0
Ni3Pt,0.0
Sm3Zr,0.0
AgTe2As,0.8
Ca3Au,0.0
