FORMULA,PROPERTY: YS (MPa)
NdMg19,0.0
Zr2Cr5Fe13,1.0
Zr16.3Co79.7Mo4,1.0
MnAl23Co,0.0
Mg6(CuAg)7,1.0
Fe41(B2P)3,1.0
Cu2Ni37P11,1.0
Fe39B2Mo9,0.0
Al18CoNi,0.0
Zr19Ti11Si70,1.0
Cu20.9Si16.5Pd62.6,1.0
Zr2(Fe5B)3,1.0
Zr47Ti8Si45,1.0
Al15Cr3Si2,0.0
Nd5Mg3Ni2,1.0
Zr60.3V10Ni29.7,1.0
Cr7Fe37B6,1.0
Zr5MnFe44,1.0
Al67(Fe7Ni4)3,0.0
Zr53.6Mn20Ni26.4,1.0
Si16.5Ni29.2Pd54.3,1.0
Ba5La53Cu42,1.0
V5Fe83B12,1.0
Nb7.8Fe78.4B13.8,1.0
V4(Fe25B7)3,1.0
Al4Cu,0.0
Fe84B5P11,0.0
Al86Co3Ni11,0.0
NbNi,1.0
Mn5Fe83B12,0.0
CeAl47V2,0.0
Cr4Fe45B,1.0
NdMg2Cu,1.0
YAl8Ni,1.0
YMg7Ni2,1.0
ZrNb79Si20,1.0
La9Al22Ni19,1.0
Ce(Al6Fe)7,0.0
Sc3Fe,1.0
Fe20Si2B3,1.0
Hf51V34Si15,1.0
CeMg14Cu5,1.0
ZrTi2Si7,1.0
Ti36.6Nb15Cu48.4,1.0
Zr17Cr2Co81,1.0
Cr13Fe32B5,1.0
Y10(Al29Ni)3,1.0
Al30Cr9Si11,0.0
NdFe9,1.0
Mg35(Zn4In)3,1.0
Ni18BC,0.0
Zr3Ni7,1.0
Mg10AlZn9,1.0
Nd15Fe82B3,1.0
Zr72.5Cu25B2.5,1.0
Zr10Cr3Ni7,1.0
Co77.5W10C12.5,0.0
GdAl7Ni2,1.0
Ce25.5Al62.5Fe12,0.0
Zr9Al9Ni2,1.0
Ce2Mg17Ni,1.0
Fe58.5Ni20B21.5,1.0
Sr14.5La53.5Cu32,1.0
Ca2.5Al92.5Fe5,0.0
Mn57Co27B16,1.0
Ba7La51.5Cu41.5,1.0
ZrCu4,0.0
Nb7Si2Mo,1.0
Si14Ni69B17,1.0
CeNbAl8,1.0
Al4Ni25B21,1.0
Sm5Al87Ni8,1.0
Hf7Fe85B8,1.0
Nd3Al41Ni6,1.0
Fe79(B6P)3,0.0
Al47FeCo2,0.0
Nd5Mg88Ni7,1.0
Ni28B19C3,1.0
Fe63B37,1.0
Ce3Mg13Cu4,1.0
LaMg7Ni2,1.0
Co67.5Si7.5B25,1.0
Hf73(Nb4Si5)3,1.0
Zr3Co44Mo3,1.0
FeB5W14,1.0
Ti42.6Nb1Cu56.4,1.0
Si11Pd39,1.0
Ni53.5B44C2.5,0.0
Al66.5Si18.5Ni15,1.0
Fe8BP,1.0
CaMg18Cu,0.0
Si9Pd37Au4,1.0
Co19(BC)3,1.0
Zr5(Fe13B2)3,1.0
LaMg15Zn4,1.0
Mn2(NbCo5)3,1.0
Zr6.5Fe92B1.5,1.0
Cu6(SiPd3)11,1.0
Ni29(B5C2)3,1.0
Hf5Cu2Ni3,1.0
Nd2Mg5Cu3,1.0
Fe71Ni25B4,0.0
Zr(CrCo2)3,1.0
CeCu11Ag8,1.0
Si16.5Pd83.5,1.0
Co80.5Si7B12.5,0.0
Co10Si16.5Pd73.5,1.0
Fe80Si3B17,1.0
Ce2Mg7Cu,0.0
Fe57Ni25B18,1.0
Nd2Mg17Cu,1.0
Zr6Cu3Ni,1.0
Fe40SiB9,1.0
Tb15Fe76.5Co8.5,1.0
Ca3Mg2,1.0
La6Al85Ni9,1.0
Zr7Fe85B8,1.0
Fe80B11C9,1.0
Fe69Si7B24,1.0
Ni36.5P27Pd36.5,1.0
Nd4Mg5Ni,0.0
Nb3VSi,1.0
Al21FeCo3,0.0
Zr10Fe89.91Ge0.09,1.0
Ga8Fe75B17,1.0
Zr15Co67Mo18,1.0
Co35(W2C3)3,1.0
NdMg3Ni,1.0
Ce5AlCu44,0.0
Hf16VSi3,1.0
Mn4Al41Ni5,0.0
Co16B7C2,1.0
Y2MgNi2,1.0
La2Mg18Zn5,1.0
Nd9Al83Ni8,1.0
Fe15B4Mo,1.0
Ce7Nb10Al83,1.0
Al8Co29B13,1.0
Cr14Fe29C7,0.0
Nd5Al41Ni4,1.0
Ce10Al83Cr7,0.0
Ca(La5Cu2)7,1.0
La5Mg11Cu4,0.0
Al43Fe3Co4,0.0
Cu5.8Si19.5Pd74.7,1.0
Al2Fe41B7,1.0
Nd2Mg7Ni,1.0
ZrTi4Si15,1.0
Co41B9,1.0
Nb80Si19Ge,1.0
Ti7Ni3,1.0
Ce2AlCu22,0.0
Zr12.2V12Co75.8,1.0
Fe39B6Mo5,1.0
Co29(Mo4C3)3,1.0
Nd3Mg2Cu5,1.0
Ca2Al17Zn,1.0
Zr13Ti4Ge3,1.0
Fe75B11P14,0.0
Zr2Co17B,1.0
Co17W5C3,0.0
Ni37B10C3,0.0
La11Al5Zn4,1.0
Ba7La65Cu28,1.0
La11Al5Fe4,1.0
Nd2Al43Ni5,1.0
Sm6Al39Ni5,1.0
Al22CoNi2,1.0
Ba9(La4Cu3)13,1.0
Mg33Ti14Al3,0.0
Co40Si3B7,1.0
La20AlNi29,1.0
Fe63Ni20B17,1.0
Sm4Al13Ni3,1.0
Y(MgCu)2,1.0
NdMg11Cu8,1.0
Al5V2Ge3,0.0
Mn18Fe5B2,0.0
Al79Si11Ni10,1.0
Fe35(Si3B2)3,1.0
La3Al44Ni3,1.0
Ce3Al15Fe2,0.0
Nd2(Al5Ni)3,1.0
Cr39Ni28Mo33,1.0
Hf64(V7Si5)3,1.0
Ni6P5Pt14,1.0
V5Fe89B6,0.0
ZrCo8Mo,1.0
Ca14(MgAl)3,1.0
Zr83Si17,1.0
Al63Fe12Si25,1.0
Y4Mg21,1.0
Zr8Al5Ni7,1.0
Si17Pd71Au12,1.0
Fe82Sn1.5B16.5,1.0
Al4Ni31B15,1.0
Fe77B19P4,0.0
Mg6Ti61Al33,1.0
Zr7Cu13,1.0
Zr3CuNi,1.0
Si16.5Pd76.8Au6.7,1.0
Zr50.25Ti25Ni24.75,1.0
Cu12Ni67P21,0.0
LaAl7Cu2,0.0
Zr11AlNi8,1.0
Mn(Al6Co)7,0.0
Zr31(Ti3Si20)3,1.0
Zr2Cu2Ni,1.0
Ce7Al93,1.0
Zr51.2Al20Ni28.8,1.0
Fe79(B3P4)3,1.0
Zr3Al13Ni4,1.0
Nb20Si4Ge,1.0
Nd7Ni3,1.0
La9Ni,0.0
Zr67Fe23.1Ni9.9,1.0
Fe79(B2Mo5)3,0.0
Co17(MoC)4,1.0
Ni2PPd2,1.0
La2Mg2Ni,0.0
Zr53.2Fe16.8B30,1.0
Zr6.5Cr8Co85.5,1.0
Ti28Nb47Si25,0.0
Co21Mo20C9,0.0
Si16.5Ag1.7Pd81.8,1.0
SmAl18Ni,1.0
Al15CrSi4,0.0
ZrFe5Co4,1.0
Fe70Si7.5B22.5,1.0
Fe44BMo5,0.0
Cu(Ni5P)4,0.0
Ti7Be3,0.0
Hf2Cu7Ni,0.0
Zr10Al0.018Fe89.982,1.0
Zr51Nb40Si9,1.0
Al47FeNi2,0.0
Fe39BMo10,0.0
Zr22Ti13Si15,1.0
Si16.5Ni20.9Pd62.6,1.0
Fe80B13P7,1.0
ZrCrFe8,1.0
NdMg7Ni2,1.0
Al10Ni33B7,0.0
Mn17Co25B8,1.0
Zr15Fe72B13,1.0
Zr15Al57Ni28,1.0
Fe71Ni15B14,1.0
AlCu,0.0
Si22.5Ni67.5C10,0.0
Al12V3Cu5,0.0
Mn4Al9Si7,1.0
Mn2Al47Co,0.0
Hf34.4Nb20Cu45.6,1.0
Y2.5Mg91.5Mn6,1.0
Fe2Ni2B,1.0
CeAl17Co2,1.0
Mg30Ti43Al27,0.0
Zr12Al5Ni3,1.0
NdFe3,1.0
Fe84SiB15,1.0
Mg70Cu29Au,1.0
Fe37SiB12,0.0
Y57Al5Cu38,1.0
Zr87Si13,1.0
La6Al3Cu,1.0
La36Al53Ni11,1.0
Hf58(V9Si5)3,1.0
Zr4AlNi5,1.0
Zr21Cu28P,1.0
Co9Ni72P19,1.0
Al17Ni2Mo,1.0
Nd(AlCu11)2,0.0
CeCu5Ag4,1.0
Zr62.5Be35Nb2.5,1.0
Cr4Fe13B3,1.0
Cr27Ni15Mo8,1.0
Ni37B6P7,1.0
Nb5.5Fe81.5B13,0.0
Ni19B29C2,0.0
CeAl18Co,1.0
Fe81.5Si12.5B6,0.0
La8Al5Ni7,1.0
Al2Fe5B3,1.0
Co3B,1.0
Ti21Al15Ni14,1.0
Fe39Si2B9,1.0
Al81Cr19,0.0
Nd3Mg16Cu,0.0
La7AlNi2,1.0
Ta8(Ti3Si)3,1.0
Zr7Al5Ni8,1.0
Ca12Mg7Ga,1.0
Zr57Ti8Si35,1.0
Fe81B16C3,1.0
Ni17Mo5C3,1.0
Fe35(B2Mo3)3,1.0
Fe81B10C9,1.0
Ti42(AlNi)29,1.0
Mn3Al45Co2,0.0
Al12Cr3Si5,1.0
SiNi9,0.0
Fe77Cu15B8,0.0
Si16.5Ni12.5Pd71,1.0
Ti4Be,0.0
Fe21BP3,0.0
Ti9Al4Cu7,1.0
La16Al67Ni17,1.0
V5Co17B3,1.0
Hf3Ta2Fe5,1.0
GdAl9,1.0
Nd5Al43Ni2,1.0
Al2(Ni9B7)3,1.0
Ti4Cu,0.0
Co27Mo14C9,1.0
Si2Ni7C,0.0
Zr2Co17Mo,1.0
Nd3Mg15Ni2,1.0
NdAl9,1.0
Fe13B4F3,1.0
Hf67(Co8Si3)3,1.0
Mn37(Co13B8)3,1.0
YMg59Cu40,1.0
La9(Mg5Ni3)2,1.0
Hf76(V3Si5)3,1.0
Al22Co3,0.0
La11Cu44.5Au44.5,1.0
VFe8B,0.0
Zr10Al0.09Fe89.91,1.0
HfCuNi3,1.0
Y2Mg13Ni5,1.0
Co1.7Si16.5Pd81.8,1.0
Zr59Cu40B,1.0
Co17SiB2,0.0
Fe70Si13B17,1.0
Zr5Co44Ni,1.0
MnGe9Pd40,1.0
Fe91B4Mo5,0.0
Ti15(Nb4Si)7,1.0
Zr10Fe89.964Ge0.036,1.0
Fe31W8C11,0.0
Co17(B3C)2,1.0
Y3Mg4Ni3,1.0
Ti4Cu5Ni,1.0
Zr5Fe86B9,1.0
Y2.5Mg93.5Mn4,0.0
Cr5Fe81B14,1.0
Nd3Al13Ni4,1.0
Y(Mg28Cu5)3,0.0
Cu83.5Ag8.9P7.6,1.0
Zr10Cr17.1Co72.9,1.0
Co10Ni71P19,0.0
Mg3Ti7Al10,1.0
Gd3Al13Ni4,1.0
ZrCo8W,1.0
Ti40Nb47Si13,0.0
Al6Co39B5,0.0
CeAl44Cu5,0.0
Zr9Al6Ni5,1.0
CrSi10Pd39,1.0
La24Al59Ni17,1.0
Fe79(B5P2)3,1.0
Zr5V3Ni2,1.0
Cr2.5Fe80.5B17,1.0
Al57Co18Ge25,1.0
Zr45Co54Pd,1.0
Ni23B23C4,0.0
Zr56.95Co15Ni28.05,1.0
Cr3Ge18Pd79,1.0
Zr10V0.054Fe89.946,1.0
Al49Co,0.0
Nd7Mg9Cu4,1.0
Fe13B7,1.0
La41AlNi8,1.0
Fe13Si4C3,1.0
Y2MgCu2,0.0
Nb19(Si2Ge)2,1.0
Nd5(AlCu14)3,1.0
NdMg15Ni4,1.0
Fe73Si9.5B17.5,1.0
Ho(Fe5B)4,1.0
Fe89Ni3B8,0.0
Al13Cr4Si3,0.0
Fe46.2Ni30.8B23,1.0
CeAl47Fe2,0.0
Co13SiB6,1.0
Zr3Cr5Co42,1.0
Al9Cr3Si8,0.0
Hf10V7Si3,1.0
Y51Al15Cu34,1.0
Ti3Al7,0.0
Ti9Nb8Si3,1.0
Mn15Fe71B14,1.0
Zr16(AlNi)17,1.0
LaAlCu3,0.0
Hf12.2Fe51.5O36.3,0.0
Al2Ni5B3,1.0
Co10Ni73P17,0.0
Mn15Fe77B8,0.0
Ce2Al17Co,1.0
Zr5Cr2Fe43,1.0
Al9Cr,0.0
Fe41(SiB2)3,1.0
Si10Ge7Pd83,1.0
La4Ni,1.0
